Source,Target,Type,Relation
G_1_S_0,G_891_S_0,Undirected,VICINI
G_10_S_0,G_289_S_0,Undirected,VICINI
G_185_S_0,G_27_S_0,Undirected,VICINI
G_27_S_0,G_807_S_0,Undirected,VICINI
G_33_S_0,G_422_S_0,Undirected,VICINI
G_49_S_0,G_61_S_0,Undirected,VICINI
G_146_S_0,G_49_S_0,Undirected,VICINI
G_433_S_0,G_54_S_0,Undirected,VICINI
G_348_S_0,G_60_S_0,Undirected,VICINI
G_61_S_0,G_80_S_0,Undirected,VICINI
G_389_S_0,G_74_S_0,Undirected,VICINI
G_116_S_0,G_183_S_0,Undirected,VICINI
G_116_S_0,G_193_S_0,Undirected,VICINI
G_116_S_0,G_578_S_0,Undirected,VICINI
G_116_S_0,G_792_S_0,Undirected,VICINI
G_116_S_0,G_815_S_0,Undirected,VICINI
G_155_S_0,G_313_S_0,Undirected,VICINI
G_183_S_0,G_437_S_0,Undirected,VICINI
G_183_S_0,G_810_S_1,Undirected,VICINI
G_183_S_0,G_892_S_0,Undirected,VICINI
G_185_S_0,G_289_S_0,Undirected,VICINI
G_193_S_0,G_700_S_0,Undirected,VICINI
G_194_S_0,G_399_S_0,Undirected,VICINI
G_194_S_0,G_597_S_0,Undirected,VICINI
G_194_S_0,G_703_S_0,Undirected,VICINI
G_194_S_0,G_731_S_0,Undirected,VICINI
G_194_S_0,G_859_S_0,Undirected,VICINI
G_240_S_0,G_578_S_0,Undirected,VICINI
G_272_S_0,G_938_S_0,Undirected,VICINI
G_278_S_0,G_437_S_0,Undirected,VICINI
G_278_S_0,G_892_S_0,Undirected,VICINI
G_289_S_0,G_570_S_1,Undirected,VICINI
G_289_S_0,G_807_S_0,Undirected,VICINI
G_297_S_0,G_389_S_0,Undirected,VICINI
G_313_S_0,G_318_S_0,Undirected,VICINI
G_313_S_0,G_368_S_0,Undirected,VICINI
G_313_S_0,G_711_S_0,Undirected,VICINI
G_359_S_0,G_400_S_0,Undirected,VICINI
G_368_S_0,G_579_S_0,Undirected,VICINI
G_408_S_0,G_533_S_0,Undirected,VICINI
G_422_S_0,G_641_S_0,Undirected,VICINI
G_437_S_0,G_553_S_0,Undirected,VICINI
G_437_S_0,G_578_S_0,Undirected,VICINI
G_441_S_0,G_891_S_0,Undirected,VICINI
G_477_S_0,G_704_S_0,Undirected,VICINI
G_502_S_0,G_775_S_0,Undirected,VICINI
G_533_S_0,G_582_S_0,Undirected,VICINI
G_553_S_0,G_691_S_0,Undirected,VICINI
G_553_S_0,G_843_S_0,Undirected,VICINI
G_553_S_0,G_892_S_0,Undirected,VICINI
G_578_S_0,G_892_S_0,Undirected,VICINI
G_691_S_0,G_815_S_0,Undirected,VICINI
G_700_S_0,G_792_S_0,Undirected,VICINI
G_704_S_0,G_747_S_0,Undirected,VICINI
G_810_S_1,G_837_S_0,Undirected,VICINI
