Id,Label,Gene,Sub
G_0_S_0,G_0_S_0,0,0
G_1_S_1,G_1_S_1,1,1
G_1_S_3,G_1_S_3,1,3
G_1_S_4,G_1_S_4,1,4
G_1_S_5,G_1_S_5,1,5
G_2_S_0,G_2_S_0,2,0
G_4_S_4,G_4_S_4,4,4
G_5_S_0,G_5_S_0,5,0
G_7_S_1,G_7_S_1,7,1
G_7_S_2,G_7_S_2,7,2
G_7_S_3,G_7_S_3,7,3
G_7_S_4,G_7_S_4,7,4
G_10_S_1,G_10_S_1,10,1
G_10_S_3,G_10_S_3,10,3
G_10_S_4,G_10_S_4,10,4
G_14_S_0,G_14_S_0,14,0
G_16_S_3,G_16_S_3,16,3
G_17_S_5,G_17_S_5,17,5
G_18_S_0,G_18_S_0,18,0
G_19_S_8,G_19_S_8,19,8
G_21_S_0,G_21_S_0,21,0
G_23_S_1,G_23_S_1,23,1
G_23_S_2,G_23_S_2,23,2
G_23_S_5,G_23_S_5,23,5
G_23_S_6,G_23_S_6,23,6
G_24_S_1,G_24_S_1,24,1
G_24_S_2,G_24_S_2,24,2
G_24_S_3,G_24_S_3,24,3
G_26_S_0,G_26_S_0,26,0
G_27_S_0,G_27_S_0,27,0
G_29_S_5,G_29_S_5,29,5
G_32_S_0,G_32_S_0,32,0
G_33_S_0,G_33_S_0,33,0
G_35_S_0,G_35_S_0,35,0
G_42_S_5,G_42_S_5,42,5
G_42_S_7,G_42_S_7,42,7
G_44_S_2,G_44_S_2,44,2
G_44_S_5,G_44_S_5,44,5
G_45_S_0,G_45_S_0,45,0
G_46_S_0,G_46_S_0,46,0
G_47_S_0,G_47_S_0,47,0
G_48_S_0,G_48_S_0,48,0
G_49_S_3,G_49_S_3,49,3
G_49_S_4,G_49_S_4,49,4
G_51_S_0,G_51_S_0,51,0
G_54_S_3,G_54_S_3,54,3
G_54_S_4,G_54_S_4,54,4
G_56_S_0,G_56_S_0,56,0
G_57_S_0,G_57_S_0,57,0
G_59_S_2,G_59_S_2,59,2
G_61_S_0,G_61_S_0,61,0
G_63_S_0,G_63_S_0,63,0
G_65_S_0,G_65_S_0,65,0
G_67_S_0,G_67_S_0,67,0
G_70_S_2,G_70_S_2,70,2
G_70_S_3,G_70_S_3,70,3
G_71_S_1,G_71_S_1,71,1
G_71_S_2,G_71_S_2,71,2
G_73_S_1,G_73_S_1,73,1
G_73_S_2,G_73_S_2,73,2
G_73_S_3,G_73_S_3,73,3
G_75_S_0,G_75_S_0,75,0
G_79_S_0,G_79_S_0,79,0
G_80_S_3,G_80_S_3,80,3
G_81_S_2,G_81_S_2,81,2
G_81_S_4,G_81_S_4,81,4
G_82_S_1,G_82_S_1,82,1
G_82_S_5,G_82_S_5,82,5
G_82_S_6,G_82_S_6,82,6
G_84_S_1,G_84_S_1,84,1
G_84_S_2,G_84_S_2,84,2
G_85_S_0,G_85_S_0,85,0
G_86_S_0,G_86_S_0,86,0
G_87_S_0,G_87_S_0,87,0
G_91_S_0,G_91_S_0,91,0
G_92_S_0,G_92_S_0,92,0
G_94_S_2,G_94_S_2,94,2
G_94_S_3,G_94_S_3,94,3
G_98_S_0,G_98_S_0,98,0
G_100_S_0,G_100_S_0,100,0
G_101_S_0,G_101_S_0,101,0
G_103_S_0,G_103_S_0,103,0
G_105_S_0,G_105_S_0,105,0
G_107_S_0,G_107_S_0,107,0
G_108_S_0,G_108_S_0,108,0
G_109_S_0,G_109_S_0,109,0
G_109_S_2,G_109_S_2,109,2
G_114_S_0,G_114_S_0,114,0
G_118_S_0,G_118_S_0,118,0
G_119_S_1,G_119_S_1,119,1
G_119_S_3,G_119_S_3,119,3
G_119_S_4,G_119_S_4,119,4
G_122_S_1,G_122_S_1,122,1
G_122_S_2,G_122_S_2,122,2
G_122_S_3,G_122_S_3,122,3
G_125_S_1,G_125_S_1,125,1
G_125_S_3,G_125_S_3,125,3
G_128_S_0,G_128_S_0,128,0
G_129_S_0,G_129_S_0,129,0
G_131_S_0,G_131_S_0,131,0
G_132_S_0,G_132_S_0,132,0
G_133_S_0,G_133_S_0,133,0
G_134_S_0,G_134_S_0,134,0
G_135_S_0,G_135_S_0,135,0
G_140_S_0,G_140_S_0,140,0
G_141_S_3,G_141_S_3,141,3
G_141_S_5,G_141_S_5,141,5
G_142_S_0,G_142_S_0,142,0
G_144_S_0,G_144_S_0,144,0
G_145_S_0,G_145_S_0,145,0
G_146_S_0,G_146_S_0,146,0
G_147_S_2,G_147_S_2,147,2
G_152_S_0,G_152_S_0,152,0
G_153_S_0,G_153_S_0,153,0
G_154_S_0,G_154_S_0,154,0
G_155_S_0,G_155_S_0,155,0
G_161_S_3,G_161_S_3,161,3
G_161_S_4,G_161_S_4,161,4
G_163_S_0,G_163_S_0,163,0
G_165_S_0,G_165_S_0,165,0
G_167_S_0,G_167_S_0,167,0
G_173_S_0,G_173_S_0,173,0
G_174_S_8,G_174_S_8,174,8
G_175_S_1,G_175_S_1,175,1
G_175_S_2,G_175_S_2,175,2
G_175_S_3,G_175_S_3,175,3
G_176_S_1,G_176_S_1,176,1
G_176_S_2,G_176_S_2,176,2
G_176_S_3,G_176_S_3,176,3
G_179_S_4,G_179_S_4,179,4
G_179_S_5,G_179_S_5,179,5
G_182_S_0,G_182_S_0,182,0
G_183_S_0,G_183_S_0,183,0
G_185_S_1,G_185_S_1,185,1
G_185_S_2,G_185_S_2,185,2
G_187_S_0,G_187_S_0,187,0
G_188_S_0,G_188_S_0,188,0
G_190_S_0,G_190_S_0,190,0
G_193_S_0,G_193_S_0,193,0
G_196_S_1,G_196_S_1,196,1
G_196_S_2,G_196_S_2,196,2
G_196_S_4,G_196_S_4,196,4
G_197_S_0,G_197_S_0,197,0
G_199_S_0,G_199_S_0,199,0
G_200_S_0,G_200_S_0,200,0
G_201_S_0,G_201_S_0,201,0
G_202_S_3,G_202_S_3,202,3
G_203_S_2,G_203_S_2,203,2
G_204_S_0,G_204_S_0,204,0
G_205_S_0,G_205_S_0,205,0
G_206_S_0,G_206_S_0,206,0
G_207_S_0,G_207_S_0,207,0
G_208_S_4,G_208_S_4,208,4
G_208_S_6,G_208_S_6,208,6
G_209_S_0,G_209_S_0,209,0
G_210_S_2,G_210_S_2,210,2
G_213_S_0,G_213_S_0,213,0
G_215_S_0,G_215_S_0,215,0
G_219_S_0,G_219_S_0,219,0
G_220_S_1,G_220_S_1,220,1
G_222_S_0,G_222_S_0,222,0
G_223_S_0,G_223_S_0,223,0
G_224_S_0,G_224_S_0,224,0
G_225_S_0,G_225_S_0,225,0
G_228_S_3,G_228_S_3,228,3
G_230_S_0,G_230_S_0,230,0
G_233_S_0,G_233_S_0,233,0
G_234_S_0,G_234_S_0,234,0
G_235_S_1,G_235_S_1,235,1
G_236_S_0,G_236_S_0,236,0
G_238_S_0,G_238_S_0,238,0
G_240_S_2,G_240_S_2,240,2
G_240_S_3,G_240_S_3,240,3
G_242_S_0,G_242_S_0,242,0
