Source,Target,Type,Relation
1:0,891:0,Undirected,VICINI
10:0,289:0,Undirected,VICINI
185:0,27:0,Undirected,VICINI
27:0,807:0,Undirected,VICINI
33:0,422:0,Undirected,VICINI
49:0,61:0,Undirected,VICINI
146:0,49:0,Undirected,VICINI
433:0,54:0,Undirected,VICINI
348:0,60:0,Undirected,VICINI
61:0,80:0,Undirected,VICINI
389:0,74:0,Undirected,VICINI
116:0,183:0,Undirected,VICINI
116:0,193:0,Undirected,VICINI
116:0,578:0,Undirected,VICINI
116:0,792:0,Undirected,VICINI
116:0,815:0,Undirected,VICINI
155:0,313:0,Undirected,VICINI
183:0,437:0,Undirected,VICINI
183:0,810:1,Undirected,VICINI
183:0,892:0,Undirected,VICINI
185:0,289:0,Undirected,VICINI
193:0,700:0,Undirected,VICINI
194:0,399:0,Undirected,VICINI
194:0,597:0,Undirected,VICINI
194:0,703:0,Undirected,VICINI
194:0,731:0,Undirected,VICINI
194:0,859:0,Undirected,VICINI
240:0,578:0,Undirected,VICINI
272:0,938:0,Undirected,VICINI
278:0,437:0,Undirected,VICINI
278:0,892:0,Undirected,VICINI
289:0,570:1,Undirected,VICINI
289:0,807:0,Undirected,VICINI
297:0,389:0,Undirected,VICINI
313:0,318:0,Undirected,VICINI
313:0,368:0,Undirected,VICINI
313:0,711:0,Undirected,VICINI
359:0,400:0,Undirected,VICINI
368:0,579:0,Undirected,VICINI
408:0,533:0,Undirected,VICINI
422:0,641:0,Undirected,VICINI
437:0,553:0,Undirected,VICINI
437:0,578:0,Undirected,VICINI
441:0,891:0,Undirected,VICINI
477:0,704:0,Undirected,VICINI
502:0,775:0,Undirected,VICINI
533:0,582:0,Undirected,VICINI
553:0,691:0,Undirected,VICINI
553:0,843:0,Undirected,VICINI
553:0,892:0,Undirected,VICINI
578:0,892:0,Undirected,VICINI
691:0,815:0,Undirected,VICINI
700:0,792:0,Undirected,VICINI
704:0,747:0,Undirected,VICINI
810:1,837:0,Undirected,VICINI
